Gender,Senior Citizen,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Contract,Monthly Charges,Churn,Tenure_group,Charges_per_tenure
Female,0,No,1,No,No,DSL,Month-to-month,25,Yes,New,12.5
Male,0,No,41,Yes,No,DSL,One year,25,No,Medium,0.595238095
Female,0,Yes,52,Yes,No,DSL,Month-to-month,19,No,Loyal,0.358490566
Female,0,No,1,Yes,No,DSL,One year,76,Yes,New,38
Male,0,No,67,Yes,No,Fiber optic,Month-to-month,51,No,Loyal,0.75
Female,1,No,68,Yes,Yes,Fiber optic,Month-to-month,90,Yes,Loyal,1.304347826
Female,0,Yes,23,Yes,Yes,Fiber optic,Month-to-month,77,No,Medium,3.208333333
Male,0,Yes,72,Yes,No,DSL,Month-to-month,72,No,Loyal,0.98630137
Male,0,No,70,Yes,Yes,Fiber optic,Month-to-month,104,Yes,Loyal,1.464788732
Male,0,No,1,Yes,No,DSL,One year,19,Yes,New,9.5
Male,0,No,1,Yes,No,DSL,Month-to-month,20,No,New,10
Male,0,Yes,34,Yes,No,DSL,Two year,84,No,Medium,2.4
Male,1,Yes,28,Yes,Yes,Fiber optic,One year,51,No,Medium,1.75862069
Female,1,No,18,Yes,Yes,Fiber optic,Month-to-month,85,Yes,Medium,4.473684211
Female,0,No,15,Yes,No,Fiber optic,Month-to-month,20,No,Medium,1.25
Female,1,No,11,Yes,Yes,Fiber optic,Two year,95,Yes,New,7.916666667
Male,0,No,11,Yes,No,DSL,One year,54,Yes,New,4.5
Male,0,Yes,1,Yes,Yes,Fiber optic,Two year,70,Yes,New,35
Female,0,Yes,37,Yes,No,DSL,Month-to-month,89,No,Medium,2.342105263
Male,0,Yes,22,Yes,No,Fiber optic,Month-to-month,89,Yes,Medium,3.869565217
Female,0,No,1,Yes,No,DSL,Month-to-month,70,No,New,35
Female,0,Yes,1,Yes,No,DSL,One year,19,No,New,9.5
Male,0,Yes,46,Yes,No,DSL,Month-to-month,80,No,Medium,1.70212766
Female,0,No,51,Yes,Yes,DSL,Two year,107,No,Loyal,2.057692308
Female,0,No,41,Yes,No,DSL,Month-to-month,104,No,Medium,2.476190476
Female,0,No,5,Yes,No,DSL,Month-to-month,68,Yes,New,11.33333333
Female,0,No,45,Yes,Yes,Fiber optic,Month-to-month,89,Yes,Medium,1.934782609
Male,0,Yes,29,Yes,No,DSL,Month-to-month,60,No,Medium,2
Female,1,No,15,Yes,Yes,DSL,Two year,92,No,Medium,5.75
Male,0,No,72,No,No,DSL,Month-to-month,64,No,Loyal,0.876712329
Male,0,No,50,Yes,Yes,Fiber optic,Two year,104,No,Loyal,2.039215686
Male,0,Yes,27,Yes,No,Fiber optic,Month-to-month,21,No,Medium,0.75
Male,0,No,72,Yes,No,DSL,One year,85,No,Loyal,1.164383562
Female,0,Yes,51,Yes,No,DSL,Month-to-month,70,No,Loyal,1.346153846
Female,0,No,60,Yes,No,DSL,Month-to-month,94,No,Loyal,1.540983607
Male,0,No,17,Yes,Yes,Fiber optic,Two year,19,No,Medium,1.055555556
Female,0,No,72,Yes,No,Fiber optic,Month-to-month,21,No,Loyal,0.287671233
Female,0,No,33,Yes,No,Fiber optic,Month-to-month,104,Yes,Medium,3.058823529
Female,1,Yes,66,Yes,Yes,Fiber optic,Month-to-month,105,No,Loyal,1.567164179
Female,0,Yes,69,Yes,Yes,Fiber optic,Month-to-month,104,Yes,Loyal,1.485714286
Male,0,No,5,Yes,No,DSL,One year,70,Yes,New,11.66666667
Female,0,No,57,Yes,Yes,DSL,Two year,101,No,Loyal,1.74137931
Female,1,No,8,Yes,No,DSL,One year,76,Yes,New,8.444444444
Female,0,No,14,Yes,Yes,DSL,Two year,51,No,Medium,3.4
Male,0,No,25,Yes,Yes,DSL,Month-to-month,95,Yes,Medium,3.653846154
Female,0,Yes,52,Yes,Yes,Fiber optic,Month-to-month,20,No,Loyal,0.377358491
Female,1,No,7,Yes,No,DSL,Month-to-month,76,Yes,New,9.5
Male,0,No,13,Yes,No,Fiber optic,Month-to-month,80,Yes,Medium,5.714285714
Female,1,No,15,Yes,Yes,DSL,Two year,90,Yes,Medium,5.625
Male,0,No,22,Yes,Yes,DSL,Two year,55,Yes,Medium,2.391304348
Female,0,No,19,Yes,Yes,Fiber optic,Month-to-month,20,No,Medium,1
Male,0,Yes,23,No,No,Fiber optic,Month-to-month,30,No,Medium,1.25
Female,0,No,72,Yes,Yes,DSL,Month-to-month,114,No,Loyal,1.561643836
Male,1,No,72,Yes,Yes,Fiber optic,Month-to-month,98,No,Loyal,1.342465753
Female,0,Yes,59,Yes,No,DSL,One year,97,No,Loyal,1.616666667
Female,0,Yes,70,Yes,Yes,Fiber optic,Month-to-month,75,No,Loyal,1.056338028
Male,0,Yes,70,Yes,Yes,Fiber optic,One year,101,No,Loyal,1.422535211
Male,0,Yes,9,Yes,Yes,Fiber optic,One year,103,No,New,10.3
Female,0,No,3,Yes,Yes,DSL,Two year,25,No,New,6.25
Male,1,No,17,Yes,Yes,Fiber optic,Two year,102,No,Medium,5.666666667
Female,0,Yes,28,Yes,Yes,Fiber optic,Month-to-month,70,No,Medium,2.413793103
Female,0,No,10,Yes,Yes,Fiber optic,Month-to-month,54,No,New,4.909090909
Male,0,Yes,11,Yes,No,DSL,Two year,21,No,New,1.75
Male,1,No,72,Yes,No,DSL,One year,103,No,Loyal,1.410958904
Male,0,No,8,Yes,Yes,Fiber optic,Month-to-month,70,Yes,New,7.777777778
Male,1,No,69,Yes,No,DSL,Month-to-month,20,No,Loyal,0.285714286
Female,0,Yes,39,Yes,Yes,Fiber optic,One year,20,No,Medium,0.5
Male,0,Yes,67,No,No,DSL,Two year,51,No,Loyal,0.75
Male,0,No,39,Yes,No,DSL,Two year,20,No,Medium,0.5
Male,0,Yes,54,Yes,No,Fiber optic,Month-to-month,66,No,Loyal,1.2
Female,0,No,1,Yes,No,DSL,Month-to-month,74,Yes,New,37
Female,0,Yes,72,No,No,DSL,One year,60,No,Loyal,0.821917808
Male,0,No,10,Yes,Yes,Fiber optic,Two year,99,Yes,New,9
Male,0,Yes,13,Yes,Yes,DSL,Two year,97,Yes,Medium,6.928571429
Female,0,No,35,Yes,No,DSL,Month-to-month,99,No,Medium,2.75
Male,0,Yes,12,No,Yes,Fiber optic,One year,36,No,New,2.769230769
Male,0,No,31,Yes,No,DSL,One year,91,No,Medium,2.84375
Female,0,Yes,53,Yes,No,DSL,Month-to-month,108,No,Loyal,2
Male,0,No,30,Yes,Yes,DSL,One year,20,No,Medium,0.64516129
Female,0,No,46,Yes,No,Fiber optic,Month-to-month,75,No,Medium,1.595744681
Female,0,No,19,Yes,No,DSL,Month-to-month,90,Yes,Medium,4.5
Female,0,No,23,Yes,No,Fiber optic,Month-to-month,54,No,Medium,2.25
Female,1,No,15,Yes,No,Fiber optic,Month-to-month,55,Yes,Medium,3.4375
Male,0,No,48,Yes,No,DSL,Two year,20,No,Medium,0.408163265
Male,0,Yes,25,Yes,Yes,Fiber optic,Month-to-month,96,Yes,Medium,3.692307692
Male,0,No,52,Yes,No,DSL,One year,105,Yes,Loyal,1.981132075
Male,0,No,12,Yes,No,DSL,Two year,82,Yes,New,6.307692308
Female,0,No,48,Yes,No,DSL,Two year,25,No,Medium,0.510204082
Female,0,No,38,Yes,No,DSL,Month-to-month,20,No,Medium,0.512820513
Female,0,No,18,No,No,Fiber optic,Month-to-month,35,No,Medium,1.842105263
Female,0,No,45,Yes,No,Fiber optic,Month-to-month,50,No,Medium,1.086956522
Male,0,No,12,Yes,Yes,DSL,Two year,90,No,New,6.923076923
Female,1,No,66,Yes,Yes,Fiber optic,Month-to-month,102,No,Loyal,1.52238806
Female,0,No,72,Yes,Yes,Fiber optic,Two year,20,No,Loyal,0.273972603
Female,0,No,70,No,Yes,Fiber optic,Month-to-month,45,No,Loyal,0.633802817
Female,0,No,27,Yes,Yes,DSL,One year,90,No,Medium,3.214285714
Male,1,No,13,Yes,No,DSL,Two year,95,Yes,Medium,6.785714286
Female,0,Yes,65,Yes,No,Fiber optic,Month-to-month,90,No,Loyal,1.363636364
Female,0,Yes,14,Yes,No,DSL,Month-to-month,70,No,Medium,4.666666667
Female,0,Yes,17,Yes,No,DSL,Month-to-month,85,Yes,Medium,4.722222222
Female,0,No,31,Yes,Yes,Fiber optic,One year,21,No,Medium,0.65625
Male,0,Yes,24,Yes,No,DSL,One year,24,No,Medium,0.96
Female,0,No,3,Yes,Yes,Fiber optic,Two year,20,No,New,5
Male,0,No,17,Yes,No,DSL,Month-to-month,77,Yes,Medium,4.277777778
Male,0,No,66,Yes,Yes,Fiber optic,One year,69,No,Loyal,1.029850746
Male,0,No,45,Yes,No,DSL,One year,53,No,Medium,1.152173913
Male,0,No,35,Yes,Yes,Fiber optic,One year,92,No,Medium,2.555555556
Male,0,Yes,40,No,No,DSL,Two year,40,No,Medium,0.975609756
Female,0,No,10,Yes,Yes,Fiber optic,Month-to-month,85,Yes,New,7.727272727
Female,0,No,52,Yes,No,DSL,One year,64,No,Loyal,1.20754717
Female,0,No,13,Yes,No,Fiber optic,Month-to-month,19,No,Medium,1.357142857
Female,1,No,43,Yes,Yes,Fiber optic,Month-to-month,90,No,Medium,2.045454545
Female,0,No,41,Yes,No,DSL,Two year,20,No,Medium,0.476190476
Female,1,No,52,No,No,Fiber optic,Month-to-month,50,No,Loyal,0.943396226
Female,0,No,71,Yes,No,DSL,Two year,93,No,Loyal,1.291666667
Male,0,No,61,Yes,Yes,Fiber optic,Month-to-month,106,No,Loyal,1.709677419
Female,0,No,26,No,No,DSL,Two year,44,No,Medium,1.62962963
Male,0,Yes,72,Yes,Yes,Fiber optic,Month-to-month,68,No,Loyal,0.931506849
